uniques,count,timestamp,day,mo,yr,collection_timestamp
25,32,2020-02-18T00:00:00Z,18,02,2020,2020-03-02 16:03:03.635418
28,32,2020-02-19T00:00:00Z,19,02,2020,2020-03-02 16:03:03.635418
23,33,2020-02-20T00:00:00Z,20,02,2020,2020-03-02 16:03:03.635418
22,34,2020-02-21T00:00:00Z,21,02,2020,2020-03-02 16:03:03.635418
16,18,2020-02-22T00:00:00Z,22,02,2020,2020-03-02 16:03:03.635418
10,10,2020-02-23T00:00:00Z,23,02,2020,2020-03-02 16:03:03.635418
21,23,2020-02-24T00:00:00Z,24,02,2020,2020-03-02 16:03:03.635418
25,27,2020-02-25T00:00:00Z,25,02,2020,2020-03-02 16:03:03.635418
15,24,2020-02-26T00:00:00Z,26,02,2020,2020-03-02 16:03:03.635418
22,35,2020-02-27T00:00:00Z,27,02,2020,2020-03-02 16:03:03.635418
12,18,2020-02-28T00:00:00Z,28,02,2020,2020-03-02 16:03:03.635418
12,15,2020-02-29T00:00:00Z,29,02,2020,2020-03-02 16:03:03.635418
15,18,2020-03-01T00:00:00Z,01,03,2020,2020-03-02 16:03:03.635418
17,22,2020-03-02T00:00:00Z,02,03,2020,2020-03-02 16:03:03.635418
