uniques,count,timestamp,day,mo,yr,collection_timestamp
2,2,2020-04-13T00:00:00Z,13,04,2020,2020-04-27 14:28:41.631142
57,142,2020-04-14T00:00:00Z,14,04,2020,2020-04-27 14:28:41.631142
51,143,2020-04-15T00:00:00Z,15,04,2020,2020-04-27 14:28:41.631142
47,144,2020-04-16T00:00:00Z,16,04,2020,2020-04-27 14:28:41.631142
41,93,2020-04-17T00:00:00Z,17,04,2020,2020-04-27 14:28:41.631142
33,64,2020-04-18T00:00:00Z,18,04,2020,2020-04-27 14:28:41.631142
37,92,2020-04-19T00:00:00Z,19,04,2020,2020-04-27 14:28:41.631142
56,225,2020-04-20T00:00:00Z,20,04,2020,2020-04-27 14:28:41.631142
38,119,2020-04-21T00:00:00Z,21,04,2020,2020-04-27 14:28:41.631142
70,157,2020-04-22T00:00:00Z,22,04,2020,2020-04-27 14:28:41.631142
63,145,2020-04-23T00:00:00Z,23,04,2020,2020-04-27 14:28:41.631142
59,134,2020-04-24T00:00:00Z,24,04,2020,2020-04-27 14:28:41.631142
33,167,2020-04-25T00:00:00Z,25,04,2020,2020-04-27 14:28:41.631142
31,120,2020-04-26T00:00:00Z,26,04,2020,2020-04-27 14:28:41.631142
43,112,2020-04-27T00:00:00Z,27,04,2020,2020-04-27 14:28:41.631142
